City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,invercargill,-46.4,168.35,11.12,96,100,1.97,NZ,1713219813
258,wenchang,30.904,118.4887,20.12,96,100,2.66,CN,1713219813
259,weno,7.4515,151.8468,28.97,84,100,2.06,FM,1713219813
260,afaahiti,-17.75,-149.2833,28.93,83,100,8.26,PF,1713219813
261,tosontsengel,48.7567,98.2839,1.93,61,2,1.51,MN,1713219814
262,coshocton,40.272,-81.8596,25.19,61,18,2.67,US,1713219814
263,palikir - national government center,6.9248,158.1611,28.47,84,75,1.54,FM,1713219814
264,nelson bay,-32.7167,152.15,22.22,96,42,3.58,AU,1713219814
265,altay,47.8667,88.1167,6.91,56,96,3.78,CN,1713219814
266,magadan,59.5667,150.8,-6.93,88,100,1.21,RU,1713219650
267,kavaratti,10.5669,72.642,29.34,74,100,2.13,IN,1713219814
268,puerto baquerizo moreno,-0.9,-89.6,28.55,70,20,7.72,EC,1713219608
269,oroqen zizhiqi,50.5667,123.7167,2.25,75,9,2.23,CN,1713219814
270,gadzhiyevo,69.2551,33.3362,-2.73,80,100,9.39,RU,1713219815
271,svirsk,53.0858,103.3325,5.17,87,44,2.47,RU,1713219815
272,saldanha,-33.0117,17.9442,13.03,84,0,1.84,ZA,1713219815
273,gua musang,4.8823,101.9644,23.96,98,100,0.65,MY,1713219815
274,malabar,-33.9667,151.25,19.51,80,75,3.09,AU,1713219815
275,swift current,50.2834,-107.8014,23.45,23,0,5.66,CA,1713219815
276,bhola,22.6833,90.65,28.02,64,19,3.93,BD,1713219815
277,dalhart,36.0595,-102.5133,29.01,4,0,13.89,US,1713219816
278,susuman,62.7833,148.1667,-21.12,98,63,0.45,RU,1713219816
279,yorkton,51.2167,-102.4677,12.91,38,75,12.35,CA,1713219816
280,hundested,55.9667,11.8667,6.72,79,99,9.25,DK,1713219816
281,arraial do cabo,-22.9661,-42.0278,24.98,83,40,4.63,BR,1713219816
282,dongning,44.0622,131.1207,9.55,94,100,1.43,CN,1713219816
283,anadyr,64.75,177.4833,-16.72,77,94,8.94,RU,1713219816
284,urzhar,47.093,81.6294,13.39,59,98,3.01,KZ,1713219816
285,iligan city,8.25,124.4,23.85,95,86,0.27,PH,1713219816
286,loiza,18.4313,-65.8802,28.05,81,75,4.12,PR,1713219816
287,uliastay,47.7417,96.8444,-0.19,57,14,2.9,MN,1713219817
288,yuzhno-kurilsk,44.0306,145.8556,5.76,89,100,4.11,RU,1713219817
289,taulaga,-11.0553,-171.0883,25.77,88,100,0.52,AS,1713219817
290,kinablangan,7.6947,126.5503,25.35,85,100,2.63,PH,1713219817
291,oliver,49.1831,-119.5524,19.95,19,100,2.06,CA,1713219817
292,navia,43.5354,-6.7194,8.47,97,15,1.37,ES,1713219817
293,guerrero negro,27.9769,-114.0611,18.62,58,42,10.65,MX,1713219817
294,vadso,70.0744,29.7487,-0.91,74,75,7.72,NO,1713219817
295,bikenibeu village,1.3673,173.1241,28.32,68,100,3.13,KI,1713219817
296,khovd,48.0056,91.6419,7.49,48,8,3.29,MN,1713219817
297,mirny,62.5353,113.9611,-2.65,86,100,4.02,RU,1713219818
298,ponta delgada,37.7333,-25.6667,18.44,94,75,6.69,PT,1713219818
299,baghlan,35.75,69.0,6.34,85,100,0.67,AF,1713219818
300,oyama,36.3,139.8,18.66,64,100,3.24,JP,1713219818
301,codrington,-38.2667,141.9667,12.9,86,100,1.46,AU,1713219818
302,olinda,-8.0089,-34.8553,28.85,84,40,3.09,BR,1713219818
303,itaituba,-4.2761,-55.9836,25.26,96,71,0.7,BR,1713219818
304,sisimiut,66.9395,-53.6735,-6.14,68,12,4.87,GL,1713219643
305,buta,2.7858,24.73,21.29,99,100,2.54,CD,1713219819
306,krasnyy chikoy,50.3643,108.7512,-1.52,93,60,0.98,RU,1713219819
307,xining,36.6167,101.7667,8.54,34,91,1.93,CN,1713219819
308,komsomol'skiy,43.9783,46.6985,15.17,55,73,2.99,RU,1713219557
309,inari,68.906,27.0288,-0.58,91,100,4.83,FI,1713219819
310,sabancuy,18.9667,-91.1833,30.74,56,79,5.55,MX,1713219819
311,tamanrasset,22.785,5.5228,16.95,23,0,5.14,DZ,1713219819
312,pokhvistnevo,53.6524,52.1274,7.69,93,92,2.75,RU,1713219819
313,gidam,18.9833,81.4,26.86,46,41,0.2,IN,1713219820
314,baranivka,50.2969,27.6622,7.4,95,100,1.37,UA,1713219820
315,umiray,15.2206,121.4111,23.68,83,55,2.34,PH,1713219820
316,zelenoborskiy,66.845,32.3622,-0.14,93,100,3.89,RU,1713219556
317,prince george,53.9166,-122.753,5.16,56,100,3.4,CA,1713219663
318,piacabucu,-10.4056,-36.4344,26.36,87,48,3.02,BR,1713219820
319,holualoa,19.6228,-155.9522,25.91,91,0,10.29,US,1713219820
320,tanout,14.9709,8.8879,30.98,10,100,1.57,NE,1713219820
321,vorgashor,67.5833,63.95,-4.55,96,100,7.21,RU,1713219820
322,bogande,12.9714,-0.1436,30.5,12,6,3.34,BF,1713219820
323,yarmouth,41.7057,-70.2286,19.19,73,0,6.69,US,1713219585
324,saint-francois,46.4154,3.9054,11.69,68,100,6.69,FR,1713219821
325,mingshui,36.7167,117.5,11.83,33,2,1.45,CN,1713219821
326,mangai,-4.05,19.5333,24.11,86,57,0.62,CD,1713219821
327,whitehorse,60.7161,-135.0538,4.5,32,20,2.06,CA,1713219670
328,jiangzi,28.95,89.6333,-1.2,62,39,2.13,CN,1713219821
329,badger,64.8,-147.5333,5.14,43,75,1.54,US,1713219822
330,shenjiamen,29.9576,122.298,14.79,98,100,4.39,CN,1713219822
